Date,Stock,Quater,"Revenue(RM,000)","Net_Profit(RM,000)",Earning_Per_Share (Cent),Dividend
25-Feb-19,SIGN,2nd Quarter Report,"40,974",499,0.2,0
25-Feb-19,GDEX,2nd Quarter Report,"82,809","10,686",0.19,0
25-Feb-19,GTRONIC,4th Quarter Report,"82,239","21,984",3.29,3
25-Feb-19,SALUTE,2nd Quarter Report,"46,867",996,0.26,0.6
25-Feb-19,GPA,3rd Quarter Report,"9,458",391,0.04,0
25-Feb-19,NHFATT,4th Quarter Report,"63,236","4,827",5.84,7
25-Feb-19,MCLEAN,4th Quarter Report,"16,399","-3,132",-1.75,0
25-Feb-19,N2N,4th Quarter Report,"27,802","2,807",0.49,1
25-Feb-19,CEPAT,4th Quarter Report,"58,232","-3,185",-1.03,1.5
25-Feb-19,MYSCM,3rd Quarter Report,"3,989","-6,125",2.33,0
25-Feb-19,HARBOUR,2nd Quarter Report,"176,973","9,479",2.37,0
25-Feb-19,UNISEM,4th Quarter Report,"331,822","23,491",3.23,3
25-Feb-19,PPHB,4th Quarter Report,"55,368","4,676",2.48,0
25-Feb-19,CHEETAH,2nd Quarter Report,"30,551",544,0.47,0
25-Feb-19,YONGTAI,2nd Quarter Report,"21,208","-5,915",-1.22,0
25-Feb-19,M&G,Other,"51,307",148,0.02,0
25-Feb-19,KRETAM,4th Quarter Report,"74,747","-19,379",-0.83,0
25-Feb-19,NGGB,2nd Quarter Report,"8,410",112,0.02,0
25-Feb-19,CCK,4th Quarter Report,"151,923","4,017",0.64,0
25-Feb-19,KPSCB,4th Quarter Report,"183,933","1,959",1.33,0
25-Feb-19,PCHEM,4th Quarter Report,"5,062,000","1,285,000",16,18
22-Feb-19,AHB,3rd Quarter Report,"3,785",302,0.17,0
22-Feb-19,PA,2nd Quarter Report,"43,933","1,041",0.06,0
22-Feb-19,PENERGY,4th Quarter Report,"191,832","20,884",6.51,0
22-Feb-19,DNONCE,Other,"14,625","-1,391",-0.72,0
22-Feb-19,GNB,2nd Quarter Report,0,-208,-0.07,0
22-Feb-19,LYC,3rd Quarter Report,"1,807",-520,-0.16,0
22-Feb-19,E&O,3rd Quarter Report,"256,952","-8,795",-0.67,0
22-Feb-19,TUNEPRO,4th Quarter Report,"140,419","10,796",1.44,0
22-Feb-19,XDL,4th Quarter Report,"115,841","4,457",0.25,0
22-Feb-19,PTARAS,2nd Quarter Report,"88,223","2,163",1.3,0
22-Feb-19,CCM,4th Quarter Report,"100,459","8,634",5.15,6
22-Feb-19,TAMBUN,4th Quarter Report,"42,868","12,856",2.97,0
22-Feb-19,BCB,2nd Quarter Report,"114,458","5,617",1.41,0
22-Feb-19,GDB,4th Quarter Report,"69,344","5,402",0.91,1
22-Feb-19,KEN,4th Quarter Report,"2,811","-2,662",-1.48,1.5
22-Feb-19,BREM,3rd Quarter Report,"28,304","4,983",1.4,2
22-Feb-19,MENTIGA,4th Quarter Report,"5,963","3,126",4.47,0
22-Feb-19,SLP,4th Quarter Report,"47,358","7,266",2.29,1.5
22-Feb-19,TRIMODE,4th Quarter Report,"20,592",726,0.48,0
22-Feb-19,MSC,4th Quarter Report,"287,704","15,594",3.9,2
22-Feb-19,IVORY,3rd Quarter Report,"45,842","-2,840",-0.58,0
22-Feb-19,JADI,3rd Quarter Report,"15,802","9,603",1.02,0
22-Feb-19,WARISAN,4th Quarter Report,"120,306","1,757",2.7,3
22-Feb-19,HWATAI,4th Quarter Report,"18,287","-2,668",-3.57,0
22-Feb-19,MGRC,2nd Quarter Report,"6,929",-991,-0.96,0
22-Feb-19,MGB,4th Quarter Report,"177,450","3,488",0.7,0
22-Feb-19,IBRACO,4th Quarter Report,"83,948","14,104",2.84,0
22-Feb-19,YILAI,4th Quarter Report,"24,885",137,0.09,0
22-Feb-19,FARLIM,4th Quarter Report,"3,446",-820,-0.53,0
22-Feb-19,FIMACOR,3rd Quarter Report,"53,349","13,141",5.46,0
22-Feb-19,AIM,4th Quarter Report,"2,741","1,147",0.47,0
22-Feb-19,ASIABRN,3rd Quarter Report,"41,776","1,372",1.18,0
22-Feb-19,ICONIC,3rd Quarter Report,"4,500","-1,913",-0.85,0
22-Feb-19,ELSOFT,4th Quarter Report,"13,049","6,167",0.93,1.25
22-Feb-19,DAYANG,4th Quarter Report,"285,648","97,724",10.13,0
22-Feb-19,DAIBOCI,4th Quarter Report,"110,452","-1,573",-0.48,0.5
22-Feb-19,BENALEC,2nd Quarter Report,"4,801","-2,008",-0.24,0
22-Feb-19,AEMULUS,1st Quarter Report,"7,738","1,014",0.18,0
22-Feb-19,JASKITA,3rd Quarter Report,"9,282","-2,282",-0.51,0
22-Feb-19,KBUNAI,3rd Quarter Report,"15,247","-4,378",-0.08,0
22-Feb-19,AXIATA,4th Quarter Report,"6,266,995","-1,661,923",-18.3,4.5
22-Feb-19,MALAKOF,4th Quarter Report,"1,887,268","85,483",1.74,3.5
22-Feb-19,MISC,4th Quarter Report,"2,388,500","338,700",7.6,9
22-Feb-19,ENRA,3rd Quarter Report,"33,678","-1,164",-0.86,0
22-Feb-19,MHB,4th Quarter Report,"273,238","-25,219",-1.6,0
21-Feb-19,TECHBND,2nd Quarter Report,"20,879",58,0.03,0
21-Feb-19,INSAS,2nd Quarter Report,"56,147","8,732",1.31,0
21-Feb-19,CHINHIN,4th Quarter Report,"277,012","9,431",1.7,0.02
21-Feb-19,FPI,4th Quarter Report,"148,983","6,270",2.5,10
21-Feb-19,VSTECS,4th Quarter Report,"446,104","8,307",4.6,2.5
21-Feb-19,PELIKAN,4th Quarter Report,"222,802","-13,993",-2.55,0
21-Feb-19,METFUS50,Other,0,0,-6.04,0
21-Feb-19,LYSAGHT,4th Quarter Report,"17,865","2,092",5.03,7
21-Feb-19,PERDANA,4th Quarter Report,"64,076","9,115",1.17,0
21-Feb-19,OFI,3rd Quarter Report,"80,978","5,119",2.13,0
21-Feb-19,CARIMIN,2nd Quarter Report,"96,255","5,264",2.25,0
21-Feb-19,INARI,2nd Quarter Report,"300,147","55,086",1.73,1.5
21-Feb-19,TASCO,3rd Quarter Report,"184,694","3,136",1.57,0
21-Feb-19,ELKDESA,3rd Quarter Report,"31,114","7,713",2.61,0
21-Feb-19,CHGP,3rd Quarter Report,"29,080",912,0.31,0
21-Feb-19,NPS,2nd Quarter Report,"5,029","1,624",1.11,0.61
21-Feb-19,PTRANS,4th Quarter Report,"29,244","8,744",0.63,0
21-Feb-19,RVIEW,4th Quarter Report,"6,762",-637,-0.98,0.02
21-Feb-19,HSSEB,4th Quarter Report,"46,795","-119,529",-25.71,0
21-Feb-19,IMPIANA,Other,826,"-3,173",-0.4,0
21-Feb-19,WATTA,4th Quarter Report,"3,683","-1,926",-2.28,0
21-Feb-19,OSKVI,4th Quarter Report,"66,281","-22,517",-11.46,0
21-Feb-19,MPI,2nd Quarter Report,"398,162","39,225",20.64,0
21-Feb-19,SIGGAS,4th Quarter Report,"19,519","1,652",0.88,0
21-Feb-19,FAJAR,2nd Quarter Report,"62,479","3,773",1.01,0
21-Feb-19,SWKPLNT,4th Quarter Report,"89,283","1,177",0.42,0
21-Feb-19,TEXCHEM,4th Quarter Report,"286,448",945,0.78,0
21-Feb-19,INNITY,4th Quarter Report,"31,095","3,889",2.81,0
21-Feb-19,TEXCYCL,4th Quarter Report,"8,263",621,0.24,0
21-Feb-19,AAX,4th Quarter Report,"1,148,075","-99,269",-2.4,0
21-Feb-19,HUBLINE,1st Quarter Report,"27,982",383,0.01,0
21-Feb-19,MPCORP,2nd Quarter Report,"4,157","-3,786",-1.32,0
21-Feb-19,BOILERM,3rd Quarter Report,"52,011","5,810",1.13,0
21-Feb-19,FAREAST,4th Quarter Report,"88,139","9,290",2.99,0
21-Feb-19,APEX,4th Quarter Report,"9,470","2,946",1.45,0
21-Feb-19,JADEM,3rd Quarter Report,"3,400","3,018",2.38,0
21-Feb-19,MALPAC,2nd Quarter Report,0,"-3,688",-4.92,0
21-Feb-19,AMTEK,2nd Quarter Report,56,-278,-0.56,0
21-Feb-19,MAGNUM,4th Quarter Report,"724,405","72,267",5.08,4
21-Feb-19,LIIHEN,4th Quarter Report,"216,815","21,496",11.94,2
21-Feb-19,ALLIANZ,4th Quarter Report,"1,302,173","100,040",10.69,40
21-Feb-19,SEAL,2nd Quarter Report,"23,117",761,5.98,0
21-Feb-19,SERNKOU,2nd Quarter Report,"49,955","4,197",1.75,0
21-Feb-19,BAT,4th Quarter Report,"770,623","116,366",40.8,47
21-Feb-19,PHARMA,4th Quarter Report,"596,644","4,437",1.71,2
21-Feb-19,GOPENG,4th Quarter Report,"1,789","-3,725",-1.39,0
21-Feb-19,PETRONM,4th Quarter Report,"2,894,220","-25,545",-9.5,20
21-Feb-19,SIME,2nd Quarter Report,"9,423,000","317,000",4.7,2
21-Feb-19,AMBANK,3rd Quarter Report,"2,300,616","349,875",11.63,0
20-Feb-19,CAELY,3rd Quarter Report,"19,102",-223,-0.28,0
20-Feb-19,HANDAL,Other,"15,190","-1,886",-1.18,0
20-Feb-19,GOCEAN,3rd Quarter Report,"122,359",592,0.2,0
20-Feb-19,3A,4th Quarter Report,"120,354","9,198",1.87,0
20-Feb-19,BOXPAK,4th Quarter Report,"172,601","-8,366",-6.97,0
20-Feb-19,TOMEI,4th Quarter Report,"138,415","4,260",3.07,0
20-Feb-19,ALSREIT,4th Quarter Report,"23,603",0,2.8,1
20-Feb-19,ALAQAR,4th Quarter Report,"25,896","44,047",6.04,1.93
20-Feb-19,D&O,4th Quarter Report,"140,584","12,327",1.12,0
20-Feb-19,YKGI,4th Quarter Report,"87,246","-122,969",-35.07,0
20-Feb-19,MSM,4th Quarter Report,"531,127","-10,388",-1.48,0
20-Feb-19,BINTAI,3rd Quarter Report,"45,481",551,0.19,0
20-Feb-19,KARYON,3rd Quarter Report,"37,658",859,0.18,0
20-Feb-19,IOICORP,2nd Quarter Report,"1,880,600","195,500",3.11,3.5
20-Feb-19,HEIM,4th Quarter Report,"662,281","99,997",33.1,54
20-Feb-19,DGSB,Other,"21,631",71,0,0
20-Feb-19,SAM,3rd Quarter Report,"191,270","20,147",14.91,0
20-Feb-19,TEOSENG,4th Quarter Report,"147,221","17,265",5.76,2.5
20-Feb-19,PBBANK,4th Quarter Report,"5,632,018","1,405,356",36.2,37
20-Feb-19,TAFI,4th Quarter Report,"5,203",-975,-1.26,0
20-Feb-19,SHL,3rd Quarter Report,"42,773","14,766",6.1,0
20-Feb-19,RGTBHD,2nd Quarter Report,"25,224","1,617",0.28,0
20-Feb-19,FREIGHT,2nd Quarter Report,"137,832","3,943",1.41,0
20-Feb-19,DBHD,4th Quarter Report,"82,314","17,340",5.45,0
20-Feb-19,MATRIX,3rd Quarter Report,"285,650","48,605",6.46,3
19-Feb-19,KPJ,4th Quarter Report,"863,345","53,324",1.28,0.5
19-Feb-19,KOTRA,2nd Quarter Report,"45,006","4,830",3.47,0.03
19-Feb-19,WCEHB,3rd Quarter Report,"123,296","10,337",1.01,0
19-Feb-19,KOSSAN,4th Quarter Report,"589,372","59,514",4.65,0
19-Feb-19,MARCO,4th Quarter Report,"39,245","3,482",0.33,0.3
19-Feb-19,HIBISCS,2nd Quarter Report,"165,158","50,105",3.15,0
19-Feb-19,FPGROUP,2nd Quarter Report,"11,046","2,732",0.53,0
19-Feb-19,P&O,1st Quarter Report,"77,558","-6,913",-2.53,2.5
19-Feb-19,HUPSENG,4th Quarter Report,"85,853","12,735",1.59,2
19-Feb-19,WEGMANS,4th Quarter Report,"27,145","6,109",1.22,0.5
18-Feb-19,BKAWAN,1st Quarter Report,"4,218,999","136,667",34.19,0
18-Feb-19,GCB,4th Quarter Report,"651,292","63,021",13.19,2
18-Feb-19,DPHARMA,4th Quarter Report,"115,634","14,369",2.17,4
18-Feb-19,HLIND,2nd Quarter Report,"702,847","86,739",27.63,0
18-Feb-19,SSTEEL,2nd Quarter Report,"809,508","-44,414",-10.24,0
18-Feb-19,OIB,2nd Quarter Report,"63,593","23,775",15.35,0
18-Feb-19,KLK,1st Quarter Report,"4,085,162","250,916",23.6,0
18-Feb-19,PANSAR,3rd Quarter Report,"88,613",898,0.29,0
18-Feb-19,PETGAS,4th Quarter Report,"1,387,209","317,904",16.07,22
18-Feb-19,ACME,3rd Quarter Report,"7,585","1,271",0.61,0
18-Feb-19,TNLOGIS,3rd Quarter Report,"146,193","1,167",0.16,0
15-Feb-19,KOBAY,2nd Quarter Report,"43,704","5,162",5.06,0
15-Feb-19,MAXIS,4th Quarter Report,"2,445,000","266,000",3.4,5
15-Feb-19,LUXCHEM,4th Quarter Report,"206,246","8,765",1.02,1.25
15-Feb-19,GASMSIA,4th Quarter Report,"1,738,527","51,078",3.98,4.5
14-Feb-19,DIALOG,2nd Quarter Report,"609,613","136,779",2.43,0
14-Feb-19,SUNREIT,2nd Quarter Report,"139,500","66,445",2.25,2.25
14-Feb-19,ECM,4th Quarter Report,"5,428",-686,-0.14,0
14-Feb-19,ARREIT,4th Quarter Report,"27,929",0,-2.63,1.45
14-Feb-19,CARLSBG,4th Quarter Report,"525,650","67,448",22.06,48.3
13-Feb-19,PMCORP,2nd Quarter Report,"25,358",131,0.02,0
12-Feb-19,MUIPROP,2nd Quarter Report,"15,434","1,698",0.23,0
12-Feb-19,SUPERMX,2nd Quarter Report,"385,101","38,136",5.82,1.5
12-Feb-19,HARTA,3rd Quarter Report,"723,393","119,755",3.6,2.2
12-Feb-19,JFTECH,2nd Quarter Report,"5,866","1,042",0.5,0
12-Feb-19,AISB,4th Quarter Report,485,"-3,632",-2.64,0
12-Feb-19,FRONTKN,4th Quarter Report,"88,665","18,683",1.78,0.8
11-Feb-19,AMFIRST,3rd Quarter Report,"29,639","6,673",0.98,0
31-Jan-19,DOLPHIN,4th Quarter Report,"8,211","2,645",1.08,0
31-Jan-19,DNONCE,Other,"47,408","1,408",0.7,0
31-Jan-19,MSPORTS,4th Quarter Report,0,54,0.01,0
31-Jan-19,F&N,1st Quarter Report,"1,010,272","122,862",33.5,0
31-Jan-19,NWP,1st Quarter Report,"1,835","-1,128",-0.29,0
31-Jan-19,CEPCO,1st Quarter Report,"31,212","-2,697",-6.02,0
30-Jan-19,ICAP,2nd Quarter Report,"3,534",895,0.64,0
30-Jan-19,PLB,1st Quarter Report,"60,632","1,965",1.75,0
30-Jan-19,AHP,4th Quarter Report,"8,128","2,696",1.23,2.98
30-Jan-19,SWSCAP,1st Quarter Report,"31,936","-1,311",-0.72,0
30-Jan-19,BURSA,4th Quarter Report,"128,916","51,855",6.4,11.6
30-Jan-19,LCTITAN,4th Quarter Report,"2,336,972","10,126",0.45,17
30-Jan-19,WPRTS,4th Quarter Report,"418,015","145,542",4.27,6.33
29-Jan-19,CHINTEK,1st Quarter Report,"29,147","9,643",10.55,10
29-Jan-19,UCREST,2nd Quarter Report,"10,616","3,077",0.66,0
29-Jan-19,CMMT,4th Quarter Report,"86,909","34,626",1.69,3.88
29-Jan-19,MATANG,2nd Quarter Report,"2,549",598,0.03,0
29-Jan-19,WZSATU,1st Quarter Report,"101,505","-11,791",-2.53,0
29-Jan-19,SUIWAH,2nd Quarter Report,"97,180",-604,-1.06,0
29-Jan-19,AMTEL,4th Quarter Report,"16,117","1,485",2.99,0
29-Jan-19,KEYASIC,2nd Quarter Report,"6,642",311,0.03,0
29-Jan-19,IMASPRO,2nd Quarter Report,"20,844",695,0.87,0
29-Jan-19,REX,2nd Quarter Report,"38,379","-1,212",-0.49,0
29-Jan-19,SYSTECH,3rd Quarter Report,"6,467",477,0.14,0
29-Jan-19,LPI,4th Quarter Report,"389,025","84,003",21.09,42
29-Jan-19,PAVREIT,4th Quarter Report,"147,059","100,280",3.3,4.44
28-Jan-19,HUMEIND,2nd Quarter Report,"163,004","-27,083",-5.65,0
28-Jan-19,BSLCORP,1st Quarter Report,"41,212","1,558",1.61,0
28-Jan-19,DYNACIA,2nd Quarter Report,"5,427","-1,947",-1.14,0
28-Jan-19,ESCERAM,2nd Quarter Report,"7,417",46,0.02,0
25-Jan-19,TWRREIT,Other,"8,732","-4,674",-1.67,0
25-Jan-19,MELATI,1st Quarter Report,"40,450",571,0.48,0
25-Jan-19,PERSTIM,3rd Quarter Report,"237,476","10,128",10.2,0
25-Jan-19,POLY,3rd Quarter Report,"21,507","4,255",2.66,0
25-Jan-19,ECOFIRS,2nd Quarter Report,"57,286","4,064",0.51,0
24-Jan-19,TMCLIFE,1st Quarter Report,"47,164","7,070",0.41,0
24-Jan-19,ECOHLDS,2nd Quarter Report,"14,029","1,690",1.04,0
24-Jan-19,ATRIUM,4th Quarter Report,"4,900","4,141",1.98,2.1
24-Jan-19,CARING,2nd Quarter Report,"139,302","5,740",2.64,5
24-Jan-19,PENSONI,2nd Quarter Report,"76,975","-1,545",-1.19,0
24-Jan-19,NYLEX,2nd Quarter Report,"434,364",209,0.11,0
24-Jan-19,PAOS,2nd Quarter Report,"103,329",582,0.32,0
24-Jan-19,ANCOMLB,2nd Quarter Report,"7,479",-190,-0.04,0
24-Jan-19,ANCOM,2nd Quarter Report,"545,482","1,802",0.84,0
24-Jan-19,EUPE,3rd Quarter Report,"94,348","4,431",3.46,0
24-Jan-19,TAKAFUL,4th Quarter Report,"701,507","90,571",10.99,0.15
24-Jan-19,KLCC,4th Quarter Report,"366,348","183,661",10.17,10.9
24-Jan-19,DIGI,4th Quarter Report,"1,674,718","377,798",4.86,4.8
23-Jan-19,HOMERIZ,1st Quarter Report,"36,098","5,131",1.71,0
23-Jan-19,GUOCO,2nd Quarter Report,"110,416","-12,704",-1.9,0
23-Jan-19,HUAYANG,3rd Quarter Report,"68,424","5,772",1.64,0
23-Jan-19,GADANG,2nd Quarter Report,"168,515","17,029",2.57,0
23-Jan-19,AJIYA,4th Quarter Report,"91,691","1,789",0.6,0
23-Jan-19,IGBREIT,4th Quarter Report,"137,206","105,508",2.99,2.28
23-Jan-19,FIBON,2nd Quarter Report,"3,674",722,0.74,0
23-Jan-19,ZHULIAN,4th Quarter Report,"45,030","15,834",3.44,4
22-Jan-19,SCH,1st Quarter Report,"34,074",49,0.01,0
22-Jan-19,SASBADI,1st Quarter Report,"30,508","4,382",1.05,0
22-Jan-19,AXREIT,4th Quarter Report,"59,477","66,985",5.43,2.45
22-Jan-19,BRIGHT,1st Quarter Report,"16,570",-91,-0.04,0
22-Jan-19,CVIEW,4th Quarter Report,"141,796","52,034",52.03,0
22-Jan-19,UOAREIT,4th Quarter Report,"19,214","9,522",2.25,3.35
17-Jan-19,MQREIT,4th Quarter Report,"41,814","8,047",1.83,3.85
17-Jan-19,PANTECH,3rd Quarter Report,"140,158","11,189",1.51,0.51
17-Jan-19,TAS,2nd Quarter Report,"15,765","1,286",0.73,0
15-Jan-19,KIPREIT,2nd Quarter Report,"15,625","7,896",1.56,0
15-Jan-19,VIZIONE,2nd Quarter Report,"165,746","19,444",3.62,0
10-Jan-19,ATLAN,3rd Quarter Report,"215,387","13,690",5.4,10
8-Jan-19,EUROSP,2nd Quarter Report,"11,518","-1,280",-2.88,0
4-Jan-19,NADIBHD,3rd Quarter Report,"89,277","10,624",1.76,0
3-Jan-19,DPIH,2nd Quarter Report,"10,048",817,0.23,0
