Date,Code,Price,Open,High,Low,Volume,negative,neutral,positive,total,,correlation,negative news,positive news
18/12/2019,5819,17.5,17.06,17.6,16.8,"10,212",0,0,3,3,,stock price changes,-0.090422963,0.835603682
17/12/2019,5819,17.1,17.1,17.18,16.76,"7,529",1,1,2,4,,,,
16/12/2019,5819,16.98,16.86,17.06,16.86,"3,926",0,1,1,2,,,,
13/12/2019,5819,17.02,17,17.14,16.8,"4,691",1,3,0,4,,,,
12/12/2019,5819,16.76,16.62,16.98,16.62,"2,841",1,2,1,4,,,,
11/12/2019,5819,16.74,16.74,16.92,16.74,"1,964",0,2,0,2,,,,
10/12/2019,5819,16.8,16.9,16.9,16.8,"2,543",0,1,0,1,,,,
